round,arm,params,tau_mode,tau,hist_max,rc,rescued,n,p5_rescue_rate,pass_at_5,jerk,collected,shard_tally,mean_inject,wc_mean_S,wc_hist_len
1,aty,aty,adapt,0.5,0,0,14,43,0.326,0.71,0.3814,33,14,1.055,,
1,wc,"adapt,t0.5,h0",adapt,0.5,0,0,10,43,0.233,0.67,0.1253,33,10,0.5732,-1.205,50.5
