round,arm,params,tau_mode,tau,hist_max,rc,rescued,n,p5_rescue_rate,pass_at_5,jerk,collected,shard_tally,mean_inject,wc_mean_S,wc_hist_len
1,wc,"adapt,t0.5,h0,k5.0,g100",adapt,0.5,0,0,9,32,0.281,0.77,0.1093,20,9,0.4314,-1.189,50.5
2,wc,"adapt,t0.5,h0,k5.0,g100",adapt,0.5,0,0,9,31,0.29,0.78,0.1569,27,9,0.8659,-1.432,50.5
