round,arm,params,tau_mode,tau,hist_max,rc,rescued,n,p5_rescue_rate,pass_at_5,jerk,collected,shard_tally,mean_inject,wc_mean_S,wc_hist_len
1,wc,"adapt,t0.5,h0,k2.5,g50",adapt,0.5,0,0,8,32,0.25,0.76,0.1126,22,8,0.01715,-0.05998,25.5
2,wc,"adapt,t0.5,h0,k2.5,g50",adapt,0.5,0,0,10,31,0.323,0.79,0.1275,26,10,0.01432,-0.06242,25.5
