round,arm,params,tau_mode,tau,hist_max,rc,rescued,n,p5_rescue_rate,pass_at_5,jerk,collected,shard_tally,mean_inject,wc_mean_S,wc_hist_len
1,wc,"adapt,t0.5,h0,k7.5,g100",adapt,0.5,0,0,8,32,0.25,0.76,0.1117,18,8,0.4523,-1.19,50.5
2,wc,"adapt,t0.5,h0,k7.5,g100",adapt,0.5,0,0,9,31,0.29,0.78,0.1579,28,9,0.9354,-1.425,50.5
